avgIncome,fastFood,hypertension,incomeClass1,incomeClass3,incomeClass2,incomeClass5,incomeClass4,heartFailure,incomeClass6,total,zip,diabetesShort,diabetesLong
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00083,0.0,0.0
155.10167638483966,196.79300291545186,65.01,0.30174927113702626,0.1326530612244898,0.18075801749271136,0.15160349854227406,0.09475218658892129,264.55,0.13848396501457727,13720.0,10001,51.04,125.29
46.84678645473393,29.947016816401753,85.8,0.5570145127850725,0.10043768716885511,0.1944252476387929,0.06427090532135453,0.053674268601704676,284.9,0.030177378484220224,43410.0,10002,75.57,151.14
212.30903203817314,51.12474437627812,24.86,0.1956373551465576,0.15167007498295842,0.15371506475800956,0.20040899795501022,0.11008861622358555,128.37,0.18847989093387865,29340.0,10003,45.98,72.82
350.6895348837209,193.7984496124031,0.0,0.13953488372093023,0.1124031007751938,0.12015503875968993,0.2131782945736434,0.09302325581395349,0.0,0.32170542635658916,2580.0,10004,0.0,0.0
948.9789752650177,17.667844522968196,0.0,0.1413427561837456,0.13957597173144876,0.1431095406360424,0.1978798586572438,0.10777385159010601,0.0,0.2703180212014134,5660.0,10005,60.72,12.1
181.589406779661,127.1186440677966,30.36,0.15254237288135594,0.1483050847457627,0.16101694915254236,0.2542372881355932,0.1059322033898305,0.0,0.17796610169491525,2360.0,10006,0.0,0.0
501.0936416184971,317.91907514450867,0.0,0.14739884393063585,0.08092485549132948,0.0953757225433526,0.17341040462427745,0.06647398843930635,112.75,0.43641618497109824,3460.0,10007,8.03,24.2
72.64041032017407,15.542430836182778,75.13,0.3310537768106932,0.16692570718060304,0.22101336649051911,0.12775878147342246,0.10258004351880634,197.78,0.05066832452595586,32170.0,10009,31.13,108.02
201.07012159814707,34.742327735958305,50.16,0.17544875506658947,0.15402431962941518,0.15112912565141864,0.2130862767805443,0.1123335263462652,120.34,0.19397799652576722,17270.0,10010,20.02,53.46
247.75157790927022,32.87310979618672,12.87,0.19296515450361604,0.13247863247863248,0.14135437212360288,0.2143326758711374,0.10256410256410256,111.32,0.21630506245890863,30420.0,10011,23.54,53.57
212.90140845070422,31.298904538341155,32.89,0.21830985915492956,0.14710485133020346,0.16353677621283255,0.18466353677621283,0.11032863849765258,56.43,0.176056338028169,12780.0,10012,14.08,37.62
327.69096945551127,66.40106241699867,12.54,0.34063745019920316,0.09760956175298804,0.14741035856573706,0.1248339973439575,0.06839309428950863,125.84,0.22111553784860558,15060.0,10013,41.91,46.2
260.16686015831135,21.108179419525065,13.64,0.17519788918205806,0.13509234828496042,0.13825857519788917,0.22532981530343008,0.11029023746701846,78.65,0.2158311345646438,18950.0,10014,6.82,17.16
284.6256377139167,58.120762027768805,33.44,0.1759767516951889,0.1659670649015176,0.16370681304488213,0.20503713270907328,0.11398127219890217,182.82,0.17533096545043592,30970.0,10016,41.25,92.4
347.6769165964617,84.24599831508003,33.0,0.17017691659646167,0.13816343723673125,0.13310867733782644,0.2047177759056445,0.10951979780960404,145.31,0.2443133951137321,11870.0,10017,6.6,39.6
413.02054574638845,272.8731942215088,33.44,0.2536115569823435,0.12520064205457465,0.18138041733547353,0.17014446227929375,0.09149277688603531,133.76,0.1781701444622793,6230.0,10018,16.72,50.16
252.43078512396696,74.3801652892562,31.13,0.21611570247933884,0.14008264462809916,0.16487603305785123,0.20165289256198346,0.10330578512396695,227.92,0.17396694214876032,24200.0,10019,36.3,46.64
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10020,0.0,0.0
497.7861693210394,20.955574182732608,33.88,0.1647108130762783,0.13788767812238056,0.12992455993294216,0.1961441743503772,0.10268231349538977,155.87,0.268650461022632,23860.0,10021,19.25,54.23
522.1812436804853,65.72295247724975,32.67,0.15470171890798787,0.12386248736097068,0.11830131445904954,0.21587462082912032,0.10010111223458039,153.45,0.2871587462082912,19780.0,10022,16.28,19.58
320.4087020648968,14.749262536873156,29.7,0.19174041297935104,0.1168141592920354,0.12507374631268436,0.2112094395280236,0.09882005899705015,123.75,0.2563421828908555,33900.0,10023,21.45,39.6
302.329591174562,16.223231667748216,36.63,0.208955223880597,0.12232316677482155,0.13335496430889032,0.1891628812459442,0.09474367293964958,201.41,0.25146009085009735,30820.0,10024,34.54,79.31
133.8700432900433,28.138528138528137,75.46,0.2982683982683983,0.1341991341991342,0.18484848484848485,0.15476190476190477,0.08831168831168831,292.05,0.1396103896103896,46200.0,10025,77.99,162.14
57.11268403171008,28.312570781426956,101.64,0.43714609286523215,0.12797281993204984,0.23669309173272934,0.08437146092865232,0.072480181200453,490.05,0.041336353340883356,17660.0,10026,145.2,268.62
52.937042569081406,44.809559372666165,120.12,0.467513069454817,0.1176250933532487,0.24234503360716952,0.07542942494398805,0.05974607916355489,317.57,0.037341299477221805,26780.0,10027,116.05,213.73
358.4127315727237,39.41663381947181,40.04,0.17895151754040206,0.1497832085139929,0.13362238864800946,0.1951123374063855,0.11036657469452109,100.21,0.232163973196689,25370.0,10028,12.54,45.1
50.632099125364434,61.224489795918366,155.76,0.5145772594752187,0.11486880466472303,0.26384839650145775,0.041690962099125366,0.04518950437317784,412.61,0.019825072886297375,34300.0,10029,147.51,359.59
36.114501510574016,22.658610271903324,215.71,0.5241691842900302,0.11404833836858005,0.2688821752265861,0.0377643504531722,0.0445619335347432,392.15,0.010574018126888218,13240.0,10030,107.8,313.72
