District,Total,Prostitution,Theft
CENTRAL,18388,44,549
NORTHERN,19826,42,943
INGLESIDE,13141,4,1368
SOUTHERN,29747,96,794
MISSION,18320,66,1195
TENDERLOIN,10590,23,112
RICHMOND,8973,9,561
TARAVAL,11755,78,786
BAYVIEW,14362,6,981
PARK,9230,1,639
